id,name,fullName,insCode,stockType,instrumentId,cisin,lSecVal,cSecVal,created_date,cSecValReal,Holding
705,نوری,پتروشیمی نوری,1.90E+16,300,IRO1NORI0001,IRO1NORI0008,محصولات شيميايي,44,2023-08-31T05:42:05.655Z,44,0
707,جم,پتروشیمی جم,3.24E+16,300,IRO1PJMZ0001,IRO1PJMZ0007,محصولات شيميايي,44,2023-08-31T05:42:05.772Z,44,0
709,پکرمان,گروه‌ صنعتی بارز,2.32E+16,300,IRO1BARZ0001,IRO1BARZ0007,لاستيك و پلاستيك,25,2023-08-31T05:42:05.921Z,25,0
711,سفاسی,شرکت فارسیت اهواز,3.47E+16,309,IRO7SFSP0001,IRO7SFSP0008,ساير محصولات كاني غيرفلزي,54,2023-08-31T05:42:06.050Z,54,0
634,وشهر,بانک شهر,4.14E+16,309,IRO7BSHP0001,IRO7BSHP0005,بانكها و موسسات اعتباري,57,2023-08-31T05:42:01.021Z,57,0
640,دسینا,داروسازی سینا,1.14E+16,300,IRO1DSIN0001,IRO1DSIN0000,مواد و محصولات دارويي,43,2023-08-31T05:42:01.457Z,43,0
642,پی پاد,پرداخت الکترونیک پاسارگاد,2.63E+16,300,IRO1PYPD0001,IRO1PYPD0001,رايانه و فعاليت‌هاي وابسته به آن,72,2023-08-31T05:42:01.604Z,72,0
644,فنرژی,گسترش صنایع انرژی آذرآب,6.40E+16,309,IRO7FNRP0001,IRO7FNRP0004,ساخت محصولات فلزي,28,2023-08-31T05:42:01.730Z,28,0
646,خساپا,سایپا,4.49E+16,300,IRO1SIPA0001,IRO1SIPA0001,خودرو و ساخت قطعات,34,2023-08-31T05:42:01.850Z,34,0
650,ونفت,سرمایه‌گذاری صنعت‌ نفت‌,3.39E+16,300,IRO1NAFT0001,IRO1NAFT0005,"فراورده هاي نفتي، كك و سوخت هسته اي",23,2023-08-31T05:42:02.127Z,56,0
652,اتکای,بیمه اتکایی ایرانیان,3.98E+16,303,IRO3ETKZ0001,IRO3ETKZ0008,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,66,2023-08-31T05:42:02.240Z,66,0
656,تماوند,تامین سرمایه دماوند,6.02E+16,303,IRO3DIBZ0001,IRO3DIBZ0003,فعاليتهاي كمكي به نهادهاي مالي واسط,67,2023-08-31T05:42:02.506Z,67,0
658,وکار,بانک‌ کارآفرین‌,4.80E+16,300,IRO1KRAF0001,IRO1KRAF0000,بانكها و موسسات اعتباري,57,2023-08-31T05:42:02.705Z,57,0
